,type,total_timesteps,num_episodes,episode_timesteps,train_episode_reward,train_episode_timesteps,train_reward,train_predicted_reward,reward_pearsonr,actor_loss,critic_loss,discriminator_loss
261,train,45524,253,24,391.597,250.500,0.609,0.369,0.000,-81.075,0.933,1.413
262,train,45615,254,91,272.919,175.000,0.609,0.369,0.000,-81.100,0.932,1.414
263,train,45833,255,218,233.477,154.000,0.612,0.367,0.000,-81.187,0.927,1.411
264,train,46034,256,201,258.742,166.800,0.617,0.374,0.000,-81.395,0.917,1.409
265,train,46071,257,37,248.069,172.500,0.622,0.393,0.000,-81.584,0.895,1.415
266,train,46104,258,33,218.463,153.143,0.622,0.393,0.000,-81.622,0.897,1.414
267,train,46199,259,95,192.821,138.125,0.622,0.391,0.000,-81.655,0.903,1.413
268,train,46264,260,65,190.434,133.333,0.621,0.385,0.000,-81.735,0.906,1.416
269,train,46331,261,67,182.843,126.500,0.622,0.385,0.000,-81.798,0.914,1.416
270,train,46373,262,42,175.546,121.091,0.623,0.387,0.000,-81.859,0.920,1.420
271,train,46388,263,15,165.265,114.500,0.623,0.388,0.000,-81.895,0.920,1.422
272,train,46404,264,16,153.998,106.846,0.622,0.388,0.000,-81.911,0.919,1.422
273,train,46468,265,64,143.998,100.357,0.622,0.388,0.000,-81.925,0.918,1.422
274,train,46632,266,164,142.014,97.933,0.623,0.384,0.000,-81.980,0.917,1.423
275,train,46815,267,183,148.780,102.062,0.626,0.385,0.000,-82.131,0.926,1.428
276,train,46838,268,23,158.854,106.824,0.628,0.385,0.000,-82.306,0.943,1.434
277,train,46966,269,128,152.202,102.167,0.629,0.385,0.000,-82.333,0.946,1.434
278,train,47966,270,1000,155.601,103.526,0.632,0.385,0.000,-82.463,0.960,1.433
279,train,48966,271,1000,183.625,148.350,0.645,0.440,0.000,-83.320,0.959,1.418
280,train,49053,272,87,213.044,188.905,0.646,0.402,0.000,-84.095,0.902,1.410
281,train,50053,273,1000,209.722,184.273,0.647,0.402,0.000,-84.170,0.893,1.410
282,train,50053,273,1000,209.722,184.273,0.661,0.370,0.000,-84.969,0.873,1.416
283,train,50076,274,23,1288.564,1000.000,0.661,0.370,0.000,-84.969,0.873,1.416
284,train,50116,275,40,659.504,511.500,0.661,0.371,0.000,-84.990,0.875,1.415
285,train,51116,276,1000,461.317,354.333,0.662,0.372,0.000,-85.027,0.877,1.414
286,train,51139,277,23,540.137,515.750,0.671,0.393,0.000,-85.764,0.859,1.407
287,train,51149,278,10,437.799,417.200,0.670,0.393,0.000,-85.782,0.856,1.408
288,train,52149,279,1000,366.545,349.333,0.671,0.393,0.000,-85.788,0.855,1.408
289,train,52202,280,53,424.057,442.286,0.665,0.397,0.000,-86.447,0.827,1.410
290,train,52234,281,32,381.806,393.625,0.664,0.394,0.000,-86.483,0.827,1.412
291,train,52262,282,28,345.337,353.444,0.663,0.394,0.000,-86.513,0.829,1.411
292,train,52282,283,20,313.990,320.900,0.662,0.393,0.000,-86.531,0.824,1.410
293,train,52355,284,73,287.745,293.545,0.662,0.392,0.000,-86.543,0.824,1.410
294,train,52519,285,164,274.145,275.167,0.662,0.393,0.000,-86.592,0.830,1.411
295,train,53519,286,1000,270.955,266.615,0.666,0.403,0.000,-86.709,0.837,1.412
296,train,54519,287,1000,351.623,319.000,0.693,0.349,0.000,-87.433,0.824,1.415
297,train,54643,288,124,440.399,364.400,0.707,0.395,0.000,-88.216,0.827,1.394
298,train,54694,289,51,427.179,349.375,0.710,0.394,0.000,-88.308,0.821,1.394
299,train,54748,290,54,407.332,331.824,0.710,0.391,0.000,-88.351,0.823,1.396
300,train,54798,291,50,389.313,316.389,0.711,0.397,0.000,-88.399,0.823,1.395
301,train,54883,292,85,373.109,302.368,0.712,0.396,0.000,-88.443,0.823,1.398
302,train,55113,293,230,362.064,291.500,0.712,0.392,0.000,-88.513,0.823,1.398
303,train,55113,293,230,362.064,291.500,0.714,0.407,0.000,-88.712,0.827,1.398
304,train,55154,294,41,302.669,230.000,0.714,0.407,0.000,-88.712,0.827,1.398
